,154445,,,,36.85,-120.46,-8,40,-8,c,w/m2,w/m2
2006,1,1,0,0,0,0,0,-0.712158203,8.27276001,994,127,2
2006,1,1,1,0,0,0,0,-0.740600586,8.243859863,994,125,3
2006,1,1,2,0,0,0,0,-0.785339355,8.198449707,993,127,3
2006,1,1,3,0,0,0,0,-1.222076416,7.753991699,992,130,3
2006,1,1,4,0,0,0,0,-1.729217529,7.237908936,991,128,4
2006,1,1,5,0,0,0,0,-1.974975586,6.987664795,991,136,4
2006,1,1,6,0,0,0,0,-1.714904785,7.252374268,991,146,4
2006,1,1,7,0,0,0,0,-1.17565918,7.801751709,990,141,4
2006,1,1,8,0,9,0,9,-0.264038086,8.72979126,989,138,4
2006,1,1,9,0,38,0,38,0.53994751,9.547540283,990,142,4
2006,1,1,10,0,35,0,35,1.418579102,10.44091187,990,143,3
2006,1,1,11,0,42,0,42,1.825317383,10.85479126,987,131,4
2006,1,1,12,0,50,0,50,2.235137939,11.27156982,986,129,5
2006,1,1,13,0,33,0,33,2.040435791,11.07387695,985,132,5
2006,1,1,14,0,79,0,79,1.717834473,10.74605713,984,137,6
2006,1,1,15,0,26,0,26,1.265014648,10.28585205,984,139,6
2006,1,1,16,0,36,0,36,0.653900146,9.664483643,984,141,6
2006,1,1,17,0,0,0,0,0.171295166,9.173486328,985,141,6
2006,1,1,18,0,0,0,0,-0.153961182,8.842584229,985,141,6
2006,1,1,19,0,0,0,0,-0.272979736,8.721551514,985,143,5
2006,1,1,20,0,0,0,0,-0.1277771,8.869348145,984,150,4
2006,1,1,21,0,0,0,0,0.109161377,9.110345459,985,162,3
2006,1,1,22,0,0,0,0,0.286499023,9.290673828,985,174,3
2006,1,1,23,0,0,0,0,0.206451416,9.209222412,985,181,2
2006,1,2,0,0,0,0,0,0.071777344,9.072290039,985,178,1
2006,1,2,1,0,0,0,0,0.047027588,9.047113037,985,165,1
2006,1,2,2,0,0,0,0,-0.167602539,8.828851318,984,141,1
2006,1,2,3,0,0,0,0,-0.413604736,8.57869873,984,120,1
2006,1,2,4,0,0,0,0,-0.753570557,8.2328125,983,114,1
2006,1,2,5,0,0,0,0,-0.686157227,8.301507568,983,122,1
